SN,FirstName,LastName,AccountType,RAM,Storage,UserName,Status,Email
1,James,John,Dedicated,2,80,james123,active,james@email.com
2,John,Doe,Shared,1,40,john456,active,john@email.com
3,Jane,Doe,Shared,1,50,jane789,active,jane@email.com
4,Bane,Doe,Shared,1,40,john101,active,bane@email.com
5,Jane,Doe,Shared,1,70,jane111,active,jane100@email.com
6,Andrew,Doe,Shared,1,40,john122,active,andrew@email.com
7,John,Doe,Dedicated,1,40,john133,active,john200@email.com
8,Matt,Doe,Shared,1,40,john144,active,matt100@email.com
9,John,Doe,Shared,1,40,john155,active,jhon@email.com
10,Jane,Doe,Shared,1,40,jane166,active,jj@email.com
11,Dave,Doe,Dedicated,1,40,john177,active,dave111@email.com
12,Terry,Davids,Shared,1,40,john188,active,terry100@email.com
13,Jola,Ade,Shared,1,40,jola199,active,jola100@email.com
